id,nombre,direccion,pais,telefono,calificacion
42,Combs Ltd,"02492 Edwards Summit
Port Vincenthaven, AR 85376",Nicaragua,001-446-534-4259x2217,2
43,Sims PLC,"84526 Khan Center Apt. 787
Gillside, PR 14712",France,+1-864-806-3842x42207,5
44,"Mitchell, Sutton and Payne","01995 Sean Flats Apt. 765
South Charles, NC 39920",Greece,(346)882-3361,1
45,Snyder-Hernandez,"48579 James Walk Apt. 064
Michelefurt, VT 67805",France,001-832-792-3425,1
46,"Ford, Morgan and Butler","16299 Carr Burgs
Gillespieburgh, MP 53888",Suriname,001-707-376-5571x29242,3
47,"Campos, Lopez and Watson","3292 Brandon Rapid
North Michelemouth, NJ 68746",Isle of Man,2003313358,3
48,Roberson-Dougherty,"010 Ballard Locks
Maryberg, VI 63955",Afghanistan,001-437-527-2487,4
49,Warren Ltd,"237 Young Hill
Douglasbury, PR 50623",Denmark,477-841-8384x173,1
50,"James, Smith and Nelson","448 Wendy Lake Apt. 652
West Allison, MI 14254",North Macedonia,286-508-9365x647,4
51,"Thomas, Mcdonald and Duncan","05551 Warner Fort
Marcusborough, OK 61288",El Salvador,5436556062,5
52,Shannon-Williams,"28296 Ashlee Ranch Apt. 650
North Maria, CT 53940",Korea,(725)605-8278x3393,1
53,"Hartman, Hernandez and Foster","70746 Martinez Bridge Apt. 149
Hortonmouth, IA 38333",Timor-Leste,(816)840-5757x5804,5
54,Jordan-Jones,"961 Wood Pines
Sharonmouth, NY 66268",Mauritania,4472779425,5
55,Smith Inc,"3813 Maldonado Summit
Rogerberg, NM 08733",Jordan,(845)605-9228,4
56,Simpson Inc,"75956 Schroeder Ports
Abigailburgh, ME 82018",Cote d'Ivoire,(439)602-3677x79636,5
57,"Park, Herrera and Lopez","9383 Mark Divide Apt. 760
New Nicholasstad, TN 24582",Armenia,(354)718-5913x85418,2
58,Galloway-Hill,"19727 Peterson View
Garciaborough, CT 58530",Cuba,(467)839-3311,3
59,Schultz-Bell,"06595 Mclaughlin Trail Apt. 035
Hillburgh, WI 55567",Kuwait,001-912-969-7173x66345,1
60,"Walker, Gonzales and Evans","492 Maria Extensions
Stevensonton, NJ 31653",India,+1-917-220-0295x378,5
61,Hudson Inc,"694 Alan Heights Apt. 310
North Catherineview, MP 20147",Equatorial Guinea,+1-705-438-1853x141,1
62,Cowan-Hernandez,"961 Susan Squares Apt. 322
Port Joshuamouth, KY 48087",Burundi,340-548-0058x41460,3
63,"Ruiz, Martinez and Clark","PSC 7482, Box 5265
APO AP 96807",Kuwait,001-255-372-3312x9046,2
64,"Alexander, Cooper and Briggs","72034 Michael Turnpike
New Shelbymouth, VT 32941",Congo,(771)257-2879,1
65,Schroeder PLC,"PSC 0973, Box 5893
APO AA 23031",Switzerland,(641)520-3677x7024,3
66,Hart-Graham,"2093 Amy Fields
West Ryanberg, AR 86486",Senegal,338-913-1274,5
67,Tanner Ltd,"9091 Burke Union
Penningtontown, NC 31669",Algeria,875-632-3704x7316,2
68,French-Potts,"777 Krystal Place
South Lindaborough, PW 08236",Switzerland,(538)355-5687x50726,4
69,"Perez, Duncan and Fleming","510 Tiffany Place Apt. 427
Ramirezfort, NJ 44596",Samoa,001-967-393-8839x693,2
70,Hancock Group,"0955 Jeanette Isle
Kathrynstad, PR 23068",Turks and Caicos Islands,758.272.7159x348,1
71,"Gonzales, Turner and Le","318 Shaw Walk
Amychester, MN 75886",Bhutan,820-436-1084,2
72,Morris Ltd,"8541 Andrew Island
East Rebecca, MN 74571",Honduras,(696)543-5799x32104,4
73,"Jones, Brown and Potter","687 Stark Ways Apt. 564
Melissamouth, VA 47647",Angola,(266)549-3891x3558,2
74,Soto Ltd,"844 Lopez Square
Dodsonshire, ND 68039",Angola,542-687-7019,1
75,"Wallace, Ali and Hall","598 Peter View
Lake James, NC 10999",Namibia,771.449.5038,4
76,"Williams, Patterson and Torres","09679 Gregory Mills Suite 087
North Marybury, MD 90336",Nigeria,478.676.0456,3
77,Ellis-Hernandez,"USNV Joyce
FPO AA 86679",Romania,+1-794-783-2846x138,5
78,Miller-Prince,"Unit 7682 Box 5039
DPO AE 35962",Venezuela,409.828.6049,3
79,"Barnes, Harper and Murray","USS Williams
FPO AP 82365",Guam,+1-466-917-4092,3
80,Robinson-Simon,"854 Reid Forest Apt. 741
New Meganchester, NE 80853",Ireland,512.466.1785,5
81,"Hoffman, Campos and Love","2359 Debbie Port
Hollybury, KS 71811",Maldives,+1-713-594-7162x78029,1
82,Blair PLC,"661 Daniel Hollow Suite 450
Austinmouth, MA 58883",Austria,957-731-0248x844,4
83,Fisher-Sanders,"2072 Santos Knolls Apt. 275
South Lukefort, VT 90585",Tunisia,001-835-938-4181x33581,4
84,Elliott Group,"1232 Nicole Plains
Lake Sherry, PA 90250",Guinea,001-420-536-0237x68091,4
85,Mclaughlin-Patton,"274 Derek View
Ellisonton, SC 43903",Paraguay,(920)688-7534x3578,3
86,Santiago-Herrera,"220 James Stream Suite 379
North Miguel, KS 91995",Sierra Leone,561.666.1555x2755,2
87,"Wood, Fleming and Gordon","617 Banks Street Suite 085
Kathychester, GA 05461",Wallis and Futuna,746.601.7632,1
88,Le PLC,"40986 Kenneth Village
East Michelle, CT 49840",Kuwait,511-913-1872,2
89,Peterson Inc,"831 Macias Lights
Kingland, NE 16366",Trinidad and Tobago,902.764.5930,3
90,Santos-Larsen,"8754 Lauren Ramp Suite 937
Susantown, VI 42217",Barbados,(875)338-4752x62997,1
91,Browning Ltd,"00983 Andrews Inlet
Port Brittany, NC 59263",Eritrea,740.328.1212x30142,5
92,"Brown, Allen and Jenkins","6238 Miles Ports Apt. 684
Williamfort, PR 22809",Bhutan,+1-202-238-6205x46867,4
93,Stewart-Brewer,"7921 Reyes Roads Suite 541
South Jamesville, NM 95898",Uzbekistan,8458954430,1
94,Waters Group,"Unit 3582 Box 5203
DPO AE 68023",Brunei Darussalam,(508)751-6599x100,5
95,Osborne and Sons,"938 Bethany Harbors
North Rickchester, GU 49935",Jordan,6562131811,4
96,Oliver-Everett,"2222 Hannah Stravenue
South Jenniferborough, TX 07733",Montserrat,+1-479-341-5259x277,4
97,Morris-Morales,"USS Riggs
FPO AA 39574",Jersey,001-965-636-6603,1
98,Hernandez-White,"757 Carter Shoals
New Mary, CA 42986",South Africa,673.508.1502x95201,4
99,Pratt-Chan,"4161 Kristin Rest
North Kimberlytown, TX 70704",Austria,(834)890-8484,1
